id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Family:grandchild (daughter's offspring).N	no	Offspring of one's daughter.			2703			
Family:grandchild (of female ego).N	no	The child in the second generation in relation to a female individual.			3782			
Family:grandchild (son's offspring).N	no	Offspring of one's son.			3909			
Family:grandchild.N	yes	A child of someone’s child.	10141590	n	1617	2-5		
Family:granddaughter.N	yes	A daughter of someone's child.	10141732	n	1619	2-49		
Family:grandfather or older brother.N	no	Either the grandfather or the older brother of a person.			2644			
Family:grandfather.N	yes	The father of one of someone's parents.	10142391	n	1383	2-46	Großvater::N	330
Family:grandmother.N	yes	The mother of one of someone's parents.	10142747	n	1496	2-47	Großmutter::N	335
Family:grandparent.N	yes	Either the grandfather or the grandmother.			2399			
Family:grandparents.N	yes	The parents of someone's parent.	10143172	n	305	2-4711		
Family:grandson (son's son).N	no	Son of one's son.			2702			
Family:grandson.N	yes	A son of someone's child.	10143299	n	1618	2-48		
Family:groom.N	yes	A man who is going to get married or has just married.			3282			
Family:husband.N	yes	The male partner in a marriage.	10193967	n	1200	2-31	Ehemann::N	361
Family:male cousin.N	no	The male child of the sibling of a parent of a person.			3822			
Family:male person.N	no	A human belonging to the male sex.			2106			
Family:marriage or wedding.N	yes	The ceremony of marrying someone or the state of being married.			3182			
Family:marriage.N	yes	Marriage, also called matrimony or wedlock, is a socially or ritually recognized union or legal contract between spouses that establishes rights and obligations between them, between them and their children, and between them and their in-laws.			2432			360
Family:married man.N	yes	A married man.	10193967	n	424	2-38		
Family:married woman.N	yes	A married woman.	10780632	n	426	2-39		
Family:marry (as man).V	no	To enter marriage from the perspective of a man.			2164			
Family:marry (as woman).V	no	To enter marriage from the perspective of a woman.			2163			
Family:marry off.V	yes	To force someone to get married, usually a relative.			556			
Family:marry.V	yes	To enter marriage; to take a husband or a wife.	2488834	v	203	2-33		
Family:maternal aunt (mother's older sister).N	no	The older sister of one's mother.			3042			
Family:maternal aunt (mother's sister).N	no	The sister of one's mother.			2693	2-521		
Family:maternal aunt (mother's younger sister).N	no	The younger sister of one's mother.			3043			
Family:maternal aunt (wife of mother's brother).N	no	Wife of mother's brother.			2172			
Family:maternal aunt.N	no	Mother's sister or mother's sibling's wife.			2176			
Family:maternal grandfather.N	no	Mother's father.			2178			
Family:maternal grandmother.N	no	Mother's mother.			2177			
Family:maternal uncle (husband of one's maternal aunt).N	no	The husband of one's maternal aunt.			2694			
Family:maternal uncle (mother's brother).N	no	The brother of one's mother.			2692	2-511		
Family:maternal uncle (mother's older brother).N	no	Older brother of ego's mother.			3249			
Family:maternal uncle (mother's younger brother).N	no	Younger brother of ego's mother.			3250			
Family:maternal uncle.N	no	A brother of someone's mother.			3220			
Family:mother (of a man).N	no	A female parent of a man.			3908			
Family:mother (of a woman).N	no	A female parent of a woman.			3907			
Family:mother-in-law (of man).N	no	The mother-in-law of a man.			2257	2-62		
Family:mother-in-law (of woman).N	no	The mother-in-law of a woman.			2256	2-621		
Family:mother-in-law.N	yes	The mother of someone's spouse.			1050	2-99909		
Family:mother.N	yes	A woman who has at least one child.	10332385	n	1216	2-36	Mutter::N	324
Family:mother's brother.N	no	The brother of someone’s mother.			1984			
Family:mother's sister.N	no	The sister of one's mother.			171			
Family:nephew or niece.N	yes	A child of someone's brother or sister.			3890			
Family:nephew.N	yes	A son of someone's brother or sister.	10353355	n	1063	2-53		
Family:niece.N	yes	A daughter of someone’s brother or sister.	10357613	n	1642	2-54		
Family:older brother (of man).N	no	The older brother of a man.			2414			
Family:older brother (of woman).N	no	The older brother of a woman.			2415			
Family:older brother.N	yes	A male with more years of age than one or more of his siblings.	9853467	n	1759	2-444		
Family:older sibling.N	yes	A person who is born before another person who has the same parents.			405	2-4561		
Family:older sister (of man).N	no	The older sister of a man.			2418			
Family:older sister (of woman).N	no	The older sister of a woman.			2419			
Family:older sister.N	yes	A female with more years of age than one or more of her siblings.	9854218	n	1758	2-454		
Family:orphan.N	yes	A person one or both of whose parents have died, especially a minor.	10384392	n	1149	2-75		
Family:parent’s elder brother.N	no					2-99911		
Family:parent’s elder sister.N	no					2-99912		
Family:parent’s younger brother.N	no					2-99913		
Family:parent’s younger sister.N	no					2-99914		
Family:parents-in-law.N	no	The parents of someone's spouse			306	2-622		
Family:parents.N	yes	Father and mother of a child.	10399491	n	505	2-37	Eltern::N	
Family:paternal aunt (father's older sister).N	no	The older sister of one's father.			3041			
Family:paternal aunt (father's sister).N	no	The sister of one's father.			2691	2-522		
Family:paternal aunt (wife of father's older brother).N	no	Wife of father's elder brother.			2170			
Family:paternal aunt (wife of father's younger brother).N	no	Wife of father's younger brother.			2171			
Family:paternal aunt.N	no	Father's sister or father's sibling's wife.			2175			
Family:paternal grandfather.N	no	Father's father.			2560			
Family:paternal grandmother.N	no	Father's mother.			3015			
Family:paternal uncle (father's brother).N	no	The brother of one’s father.			1985	2-512		
Family:paternal uncle (father's older brother).N	no	Father's elder brother.			2173			
Family:paternal uncle (father's younger brother).N	no	Father's younger brother.			2174			
Family:paternal uncle.N	no	Father's brother or father's sibling's husband.			3763			
Family:raise.V	yes	To take care of an infant or some other living creature, usually until it can live independently.			2134	8-99962	aufziehen::V	
Family:relatives.N	yes	A person that is considered to be of the same family due to shared ancestors, marriage or adoption.	10235549	n	1644	2-81		
Family:same-sex older sibling.N	no	A person of the same sex who is born before another person who has the same parents.			3037			
Family:same-sex younger sibling.N	no	A person of the same sex who is born after another person who has the same parents.			3038			
Family:self.?	no	The essential qualities that make a person or a thing distinct from all others.			1993			
Family:she.?	no	A female other; the female previously mentioned. 3rd person singular feminine subject pronoun.			1834	2-932		
Family:sibling-in-law.N	yes	The husband of one's sister.			1832	2-6412		
Family:sibling.N	yes	A person who has the same parents as another person.	10595164	n	1640	2-456		
Family:sibling's child.N	no	The child of a sibling.			173	2-541		
Family:sister (of man).N	no	The sister of a man.			561			
Family:sister (of woman).N	no	The sister of a woman.			562			
Family:sister-in-law (husband's older sister).N	no	Husband of one's older sister.			2700			
Family:sister-in-law (husband's younger sister).N	no	Husband of one's younger sister.			2701			
Family:sister-in-law (of female ego).N	no	The sister of a woman's husband or the wife of a woman's brother.			3781			
Family:sister-in-law (older brother's wife).N	no	Wife of one's older brother.			2695			
Family:sister-in-law.N	no	The sister of one's partner in a marriage.			2317			
Family:sister.N	yes	A female person who has the same parents as another person.	10602985	n	1263	2-45	Schwester::N	357
Family:son (of male ego).N	no	A son, as referred to by his father.			3779			
Family:son of woman.N	no	Son of a mother			3939			
Family:son-in-law (of man).N	no	The son-in-law of a man.			2267	2-63		
Family:son-in-law (of woman).N	no	The son-in-law of a woman.			2266	2-631		
Family:son-in-law.N	no	The male marital partner of someone's child.			1056			
Family:son.N	yes	One's male child.	10624074	n	1620	2-41	Sohn::N	350
Family:spouse.N	yes	One of the partners in a marriage, be they male or female.			2514	2-99916		
Family:step-.A	yes					2-99902		
Family:stepchild.N	yes	The child of one's spouse and his or her previous partner.			3910	2-99917		
Family:stepdaughter.N	yes	The daughter of one's spouse and his or her previous partner.	10654596	n	1058	2-74		
Family:stepfather.N	yes	The husband of one's biological mother, other than one's biological father.	10654701	n	237	2-71		
Family:stepmother.N	yes	The wife of one's biological father, other than one's biological mother.	10654827	n	236	2-72		
Family:stepson.N	yes	The son of one's spouse and his or her previous partner.	10655075	n	1059	2-73		
Family:uncle (husband of father's sister).N	no	The husband of the sister of one's father.			2690			
Family:uncle or father-in-law.N	no	Either an uncle or the father-in-law.			2387			
Family:uncle.N	yes	The brother of someone’s father or mother.	10736091	n	1327	2-51	Onkel::N	340
Family:wedding.N	yes	A ceremony celebrating the beginning of a marriage, during which the marrying parties exchanges vows.	1036996	n	1259	2-34		
Family:widow.N	yes	A woman whose spouse has died.	10780284	n	1756	2-76		
Family:widower.N	yes	A man whose spouse has died.	10780506	n	1981	2-77		
Family:wife.N	yes	The female partner in a marriage.	10780632	n	1199	2-32	Ehefrau::N	362
Family:younger brother (of man).N	no	The younger brother of a man.			2416			
Family:younger brother (of woman).N	no	The younger brother of a woman.			2417			
Family:younger brother.N	yes	A male with fewer years of age than one or more of his siblings.	10267311	n	1760	2-445		
Family:younger sibling.N	yes	A person who is born after another person who has the same parents.			427	2-4562		
Family:younger sister (of man).N	no	The younger sister of a man.			2420			
Family:younger sister (of woman).N	no	The younger sister of a woman.			2421			
Family:younger sister.N	yes	A female who is younger than one or more of her siblings.	10267865	n	1761	2-455		
Flower:Prunus armeniaca.N	yes	The flower of the Apricot Tree.			2745			
Flower:Prunus salicina.N	yes	The flower of the Chinese Plum.			2744			
Food:alcohol.N	yes	A drink (a liquor or brew) containing ethanol, commonly known as alcohol.			2050			
Food:animal or meat.N	no	Any living organism that is characterized by voluntary movement, be it alive or ready prepared to be eaten.			2096			
Food:astringent.A	no	A property describing a substance which causes the skin, membranes, or other tissue to contract. Tannins in unripe fruit are known to function as astringents.			3837			
Food:aubergine.N	no	An Asian plant, Solanum melongena, cultivated for its edible purple, green, or white ovoid fruit.			1146			
Food:avocado.N	no	A fruit with a soft, greenish peel and a brown round seed in the middle of a tree from the family Persea americana.			3725			
Food:bake.V	yes	To cook (something) in an oven, but not in fat, or harden by means of dry heat.	1663749	v	183	5-24	backen::V	3493
Food:bamboo shoot.N	no	The edible shoots (new bamboo culms that come out of the ground) of many bamboo species.			2494			
Food:banisterium.N	no	A psychoactive infusion prepared from the Banisteriopsis spp.			276			
Food:baozi.N	no	A baozi or simply known as bao, bau, humbow, nunu, bausak, pow or pau is a type of steamed, filled bun or bread-like (i.e. made with yeast) item in various Chinese cuisines.			511			
Food:barbecue.V	yes	To cook food on a grill traditionally employing hot charcoal as the heating medium.				9-99928		
Food:be hungry.V	no	To be in need of food.			1533	5-14	hungrig::A	
Food:be thirsty.V	no	To suffer from thirst; to have a craving to drink, which is often accompanied by the feeling of dryness in the mouth and throat.			3474	5-15		
Food:bean or pea.N	no	Pointing to food like peas or beans in a general sense.			2574			
Food:bean.N	no	Any of various leguminous plants grown for their edible seeds and pods.	7724943	n	832	5-66		
Food:become prepared (of food).V	no	(Of food) being prepared and then ready to be eaten.			2210			
Food:become sour.V	no	To obtain an acid taste and become no longer edible.			2229			
Food:beef.N	no	The meat of cows.			2570			
Food:beer.N	no	An alcoholic beverage commonly fermented from barley malt, with hops or some other substance to impart a bitter flavor.	7886849	n	1639	5-93		
Food:beer.N	no	beer						3479
Food:berry.N	yes	A soft fruit which develops from a superior ovary and contains seeds not encased in pits.			904		Beere::N	1020
Food:betel nut.N	no	The seed of the areca palm (Mama'an in Meranau common version).			2369			
Food:beverage.N	no	Any one of various liquids for drinking.	7881800	n	731	5-9		
Food:beverage.N	no	beverage						3402
Food:boil (something).V	no	To bring some liquid into a state of boiling.			2492		kochen::V	
Food:boil.V	yes	To be at a temperature (as a liquid) where it moves into the gaseous phase.	375021	v	792	5-22	sieden::V	
Food:boil.V	no	To boil some liquid or to be boiling (of some liquid).			2493			
Food:boiled water.N	no	Water that was boiled and is still hot.			3362			
Food:bowl.N	no	A roughly hemispherical container used to hold, mix or present food, such as salad, fruit or soup, or other items.	2881193	n	1530	5-33		1304
Food:braise (verb).V	no	A method of cooking using steam that avoids overcooking or burning food.			2068			
Food:bread.N	yes	A common food made mainly from flour, water and yeast and produced by kneading and baking a dough.	7679356	n	1368	5-51	Brot::N	3415
Food:breadfruit.N	no	A species of flowering tree in the mulberry family, Moraceae originating in the South Pacific and that was eventually spread to the rest of Oceania.			2371			
Food:breakfast.N	no	The first meal of the day, usually eaten in the morning.	7574602	n	1322	5-42		
Food:breakfast.N	no	breakfast						3485
Food:broccoli.N	no	A plant of the cabbage family, Brassicaceae, which is shaped like a tree.			3726	8-99908		
Food:brown sugar.N	no	Unrefined natural sugar that owes its brown colour and softer consistency to the preservation of molasses.			3440			
Food:bunch.N	no	A group of things fastened or growing together.	7959943	n	1966	5-712		
Food:butter.N	no	A soft, fatty foodstuff that is made by churning the cream of milk (most often cows milk).	7848338	n	1245	5-89	Butter::N	
Food:butter.N	no	butter						3441
Food:cabbage.N	no	An edible plant, Brassica oleracea, with many varieties.			774	5-99908		
Food:cake.N	yes	Cake is a form of sweet dessert that is typically baked.			2408			
Food:Camellia sinensis.N	yes	tea (beverage made from leaves of plant sp. Camellia sinensis)	7933274	n	1373	23-9	Tee::N	3477
Food:candy.N	yes	Food item that is rich in sugar.	7596684	n	874	23-565		
Food:cauliflower.N	no	One of several vegetables in the species Brassica oleracea in the genus Brassica.			2843			
Food:celery.N	no	A vegetable with a long greenish stalk of the carrot family.			3727			
Food:cheese.N	no	A curdled or cultured milk product.	7850329	n	1569	5-88		
Food:cheese.N	no	cheese						3442
Food:cherry.N	no	Fruit of the Cherry tree.			2765			
Food:chestnut.N	no	Fruit of the chestnut tree.			2318			
Food:chew betel.V	no	To consume a mixture of areca nut and betel leaf.			3161			
Food:chew.V	no	To crush with the teeth by repeated closing and opening of the jaws; done to food to soften it and break it down by the action of saliva before it is swallowed.	1201089	v	321	5-18		
Food:chewing gum.N	no	chewing gum						3471
Food:chicha.N	no	A beverage made from fermented corn in South and Central America.			441			
Food:chicken egg.N	no	The egg of a chicken.			2779			
Food:chili pepper.N	no	Any fruit of a plant of the botanical genus Capsicum, noted for their spicy and burning flavour due to presence of capsaicin.	7721456	n	919	5-821		
Food:chocolate.N	no	A food prepared from ground, roasted cocoa beans and often used to make candy.			3873			
Food:chocolate.N	no	chocolate						3450
Food:choke.V	no	To squeeze the neck in order to compress the carotide and/or trachea, possibly leading to unconsciousness or death.	77950	v	129	5-19		
Food:chop.V	yes	To chop meat, vegetables etc. into small pieces.			2149		hacken::V	
Food:chopstick.N	no	A utensil in the form of a narrow stick used in pairs in China, Japan, Korea, and Vietnam to eat food.			2054			
Food:chopsticks.N	no	A pair of small equal-length tapered sticks, which are generally believed to have originated in ancient China, and are the traditional eating utensils of China, Japan, Korea, Taiwan, and Vietnam.			1987			
Food:cigarette.N	no	cigarette						3470
Food:Citrullus lanatus.N	yes	A large, sprawling annual plant with coarse, hairy pinnately-lobed leaves and white to yellow flowers.			2766	8-99954		
Food:Citrus sinensis.N	yes	A fruit of the citrus species citrus x sinensis.			2627			
Food:clay pot.N	no	A container for food and other things made from clay.			2055			
Food:cleaver.N	no	A knife with a large and square blade used for cutting and mincing meat, especially by butchers.			3067			
Food:coconut shell ladle.N	no	A large spoon made from coconut shell.			2649			
Food:Coffea.N	yes	A beverage made by infusing the beans of the coffee plant in hot water.	7929519	n	1299	23-91		3478
Food:congee.N	no	A type of rice porridge or gruel popular in many Asian countries			2049			
Food:consume (drink or eat).V	no	To consume food or drink.			2787			
Food:cook (person).N	no	The person who prepares food.			2315			
Food:cook (tv).V	yes	To prepare a meal or a single dish.	1664172	v	1100	5-21	zubereiten::V	
Food:cook.V	no	cook (prepare by applying heat)						3491
Food:cooked corn.N	no	Boiled corn.			3027			
Food:cooked rice.N	no	Boiled rice.			1191			
Food:cooked.A	no	Contrasting with 'raw'.	615757	a	269	5-121		
Food:cookie.N	no	cookie				5-99906		3427
Food:cooking pot.N	no	A vessel, usually with a rounded body, used to cook food.			3653			
Food:courgette.N	no	A long green marrow of Cucurbita pepo.			3728			
Food:cow milk.N	no	The milk of cows.			3911			
Food:cream.N	yes					5-9991		
Food:crush.V	no	To tighten (something) so strongly that it loses the form and the original consistency.			1520			
Food:cup.N	no	A concave vessel for holding liquid, generally adorned with either a handle or a stem.	3147509	n	476	5-35	Tasse::N	
Food:cut nut.N	no	A fruit from an evergreen fruit-bearing tropical tree. [L: http://fruitandnuttrees.com/]			2370			
Food:dinner.N	yes	A meal that is eaten in the late afternoon or evening daily.	7575726	n	1833	5-44		
Food:dish.N	no	Any kind of vessel for holding or serving meals.	3206908	n	481	5-31	Geschirr::N	
Food:dough.N	no	A mixture of flour and water ready to be baked into bread, pastry etc.	7860988	n	273	5-53		
Food:draw milk.V	no	To draw milk from (a mammal, especially a cow).	194170	v	93	5-87	melken::V	
Food:drink.V	yes	To consume a liquid through the mouth.	1170052	v	1401	5-13	trinken::V	721
Food:earthen jug.N	no	A liquid container made of baked clay.			3409			
Food:eat.V	no	To consume something solid or semi-solid (usually food) by putting it into the mouth and eventually swallowing it.	1168468	v	1336	5-11	essen::V	
Food:egg.N	no	Egg (either fertilized or not) from domesticated birds, most commonly hens, seen as food.	7840804	n	744	5-97	Ei::N	
Food:fat (for nourishment).N	no	Soft liquid retrieved from animals or plant and used for cooking.			2095			
Food:fat (from animals).N	no	The semisolid substance from animals which is used for cooking and as food.			1282			
Food:fat (of meat and food).A	no	The property of food, especially meat, to contain a large proportion of fat.			2449			
Food:fat (oily).A	no	To contain a lot of fat or oil.			2719			
Food:fat meat.N	no	Any animal meat with a higher fat content.			3436			
Food:feed.V	yes	To give food.			739		füttern::V	
Food:fermented alcohol.N	yes	A fermented drink is a beverage containing alcohol because of a metabolic process that converts sugar to acids, gases and/or alcohol (e.g. beer or wine).			404	5-94		
Food:Ficus carica.N	yes	The fruit of the fig tree, pear-shaped and containing many small seeds.	7753113	n	322	5-75		
Food:flour.N	yes	Ground or milled grain or cereal.	7569106	n	1594	5-55		3410
Food:fodder.N	no	Feed for livestock, especially chopped hay or straw.			3046			
Food:food.N	no	A substance that can be ingested and utilized by the organism as a source of nutrition and energy.	7555863	n	256	5-12	Nahrung::N	
Food:food.N	no	food						3401
Food:fork.N	yes	A utensil with spikes used to put solid food into the mouth.	3383948	n	1302	5-39	Gabel::N	
Food:fresh (of water).A	no	Of water which was recently filled up or gathered from a source.			2195			
Food:fruit.N	no	A botanical fruit that can be eaten raw used as food.	13134947	n	1507	5-71		
Food:fry.V	no	fry						3492
Food:fry.V	no	To cook in hot fat.			991		braten::V	
Food:glutton.N	no	Person who habitually eats and drinks excessively.			533			
Food:Glycine max.N	yes	The edible seed of the soybean plant which contains a lot of protein.			2028			
Food:grape.N	no	A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on certain vines.	7758680	n	920	5-76		
Food:greasy.A	no	Smeared or soiled with grease or oil.			955			
Food:griddle.N	yes	A metal or stone flat plate on which food is fried or baked.				7-99903		
Food:gridiron.N	yes	Wooden grill used to dry or smoke meat or fish			3932			
Food:grind.V	no	To break something into small pieces by pressing it flat, or grinding it to powder.	331082	v	1033	5-56		
Food:gruel.N	no	A hot breakfast cereal dish made from oatmeal, milk and, or water heated and stirred until thick.			1167			
Food:honey.N	no	A viscous, sweet substance produced from nectar or honeydew by bees.	7858978	n	942	5-84	Honig::N	
Food:honey.N	no	honey						3451
Food:hunger.N	no	A need of food.			1864		Hunger::N	
Food:infusion.N	yes	The drink made by infusing dried leaves or buds in hot water.						
Food:jug.N	no	A container for holding and pouring liquids with a handle and a spout.	3950228	n	270	5-34		
Food:juice.N	no	The liquid that is produced by squeezing or crushing fruits or vegetables.			1499			
Food:kettle.N	no	A metal container used to boil any kind of liquid.	3612814	n	854	5-27	Kessel::N	
Food:kitchen knife.N	no	A knife for cutting vegetables etc. in order to prepare food.			2772			
Food:knead.V	no	To press a dough many times with one's hands.	1235355	v	274	5-54		
Food:knife (for eating).N	no	A knife used while eating food.	3623556	n	3210	5-38		
Food:knife.N	no	A utensil consisting of a sharpened piece of hard material such as steel or other metal, ceramic, glass or stone, usually attached to a handle, that is formed in a manner that allows for cutting softer materials, especially meat or other food.	3623556	n	1352	9-23	Messer::N	
Food:ladle (water).V	no	To use some device or one's hands to fill fluid from one container to another.			2788			
Food:ladle.N	no	A large spoon used to distribute soup and other kinds of food.			2657			
Food:large bowl.N	no	A large utensil for eating fluid food.			3286			
Food:lean meat.N	no	Any animal meat with a lower fat content.			3393			
Food:lettuce.N	no	A often green plant, Lactuca sativa, which is mainly used in salads.			3729			
Food:light (in taste).A	no	Light or watery in taste.			2181			
Food:light (smell or taste).A	no	Being not strong in smell or taste.			2201			
Food:liquor.N	no	Alcoholic beverage containing more than 20 percent alcohol.			842			
Food:litchi.N	no	The sole member of the genus Litchi in the soapberry family, Sapindaceae.			2768			
Food:lunch.N	no	Meal usually eaten at midday.	7575076	n	768	5-43		
Food:lunch.N	no	lunch						3487
Food:lychee.N	no	A tropical fruit with a hard brownish peel with a black seed in the inside and with flesh of a tree from the soapberry family.			3731			
Food:machete.N	no	A machete is a broad blade used either as an implement like an axe, or in combat like a short sword.			2680			
Food:main meal.N	yes	The main meal of the day, eaten in the middle of the day or in the evening			3829			
Food:Malus domestica.N	yes	The popular, crisp, round fruit of the apple tree, usually with red, yellow or green skin, light-coloured flesh and pips inside.			1320	8-99905	Apfel::N	
Food:manioc bread.N	no	Bread made of the roots of the cassava plant.			407	5-983		
Food:mantou.N	no	Steamed bun made of flour, water and yeast originating from Chinese cuisine.			1969			
Food:mead.N	no	Wine made of honey.	7890750	n	941	5-91		
Food:meal.N	no	meal						3484
Food:meal.N	no	The act of eating food, usually at a specific time.			1526	5-41	Essen::N	
Food:meat dishes.N	no	Dishes containing meat (as opposed to vegetables).			2767			
Food:meat.N	no	The edible flesh of animals, especially that of mammals.	7649854	n	634	5-61	Fleisch::N	
Food:meat.N	no	meat						3430
Food:Metroxylon sagu.N	yes	Starch extracted from the spongy centre, or pith, of various tropical palm stems, especially Metroxylon sagu.			2270			
Food:milk.N	no	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.	7844042	n	635	5-86	Milch::N	
Food:milk.N	no	milk						3440
Food:mill.N	no	A mill is a device that breaks solid materials into smaller pieces by grinding, crushing, or cutting.	3765561	n	636	5-57		
Food:mix.V	no	To mix together different elements.	184117	v	2017	5-49		
Food:mortar.N	no	A bowl used to crush and grind ingredients with a pestle.	3786901	n	224	5-58		
Food:Musa acuminata.N	yes	The fruit of the banana tree.	7753592	n	868	8-84		
Food:Musa balbisiana.N	yes	A kind of banana that is normally cooked and not eaten raw.			399			
Food:mush.N	yes	A kind of porridge that is prepared by boiling it with water or milk until thick.			3651		Brei::N	
Food:mustard.N	no	It can be a yellow sauce with a strong taste or a plant which is used to make mustard sauce.			3181			
Food:NaCl.N	yes	A condiment (NaCl - Sodium Chloride) used to add to or enhance the flavour of food (commonly with pepper).	7813107	n	1274	5-81	Salz::N	3466
Food:noodle.N	yes	A string or strip of pasta, especially as used in Chinese and Italian cookery.			973			
Food:nut.N	no	A hard-shelled seed.	13136556	n	191	5-77		
Food:oil (from plants).N	no	Liquid hydrophobic substance from plants which is used for cooking.			2555			
Food:oil.N	yes	Fat from animals or plants in a liquid form.	14966667	n	1484	5-79	Öl::N	
Food:olive.N	no	The small oval fruit of the olive tree, Olea europaea.	12301445	n	1154	5-78		
Food:opium.N	no	The dried latex obtained from the opium poppy.			2498			
Food:organic fat or oil.N	no	Animal or plant fat in a soft or liquid state.			2551			
Food:pan.N	no	Cooking utensil relatively flat, having a handle, used to cook food such as meat, vegetables or eggs, usually in oil or butter.	3880531	n	31	5-28		
Food:papaya.N	no	The fruit of the plant Carica papaya, and is one of the 22 accepted species in the genus Carica of the plant family Caricaceae.			2445			
Food:pasta.N	no	pasta, noodles						3420
Food:pea.N	no	An annual plant originally from the Mediterranean basin and the Near East.			2025	8-99937		
Food:peel.V	no	To remove the skin from food or vegetables.	1262936	v	275	5-46		
Food:pepper.N	no	A spice prepared from the fermented, dried, unripe red berries of the pepper plant.	7815588	n	1385	5-82		
Food:pestle.N	no	A heavy cylindrical object with a rounded end used for crushing and grinding.	3919289	n	225	5-59		
Food:pig fat.N	no	The fat from a pig, used for cooking.			2557			
Food:pitcher.N	no	A container shaped like a vase with a handle and a spout used to serve liquids.			120			
Food:pizza.N	yes	An Italian dish consisting of a flat base of leavened wheat-based dough topped with tomato, cheese, and other ingredients.						3425
Food:plate.N	no	A flat dish on which food is served or from which food is eaten.	3959485	n	480	5-32		
Food:pomegranate.N	no	A fruit with a thick reddish peel and many small red little seeds of a tree from the family Punica granatum.			3732			
Food:pork.N	no	The edible flesh of pigs.			2769			
Food:pot.N	no	A vessel used for cooking or storing food or liquids.	3990474	n	1462	5-26	Topf::N	
Food:potato.N	no	A tuberous plant, Solanum tuberosum, often eaten as a starchy vegetable, particularly in the Americas and Europe.	7710616	n	593	5-7		
Food:potion.N	no	Either the liquid that is produced by squeezing or crushing fruits or vegetables, or a substance which specifically promotes healing.			2268			
Food:poultry meat.N	no	The meat of birds, usually domesticated ones.			2491			
Food:prepared food.N	no	Food prepared to be eaten during a meal or as a snack.	7573696	n	3542			
Food:pretzel.N	no	A type of baked bread product made from dough most commonly shaped n a twisted knot.			2583			
Food:Prunus armeniaca.N	yes	A fruit of orange color with a fuzzy peel and a black seed inside, similar to a peach or plum of a tree from the family Prunus armeniaca.			3730			
Food:raw.A	no	That has not been cooked (food).	619433	a	1959	5-122	roh::A	
Food:rice steamer.N	no	A device to steam rice.			3431			
Food:ripe or cooked.A	no	Suitable for eating because it is fully grown (of fruit and crops) or because it has been boiled, fried, grilled, etc.			3806			
Food:ripe.A	no	(Of fruits, seeds, etc.) Having reached the stage of development suitable for harvesting and eating.	1493173	a	178	5-123	reif::A	
Food:ripen.V	no	(For a fruit, seed, etc.) To become ripe.			179		reifen::V	
Food:roast (device).N	no	A device that is used to roast meat or vegetables.			2145			
Food:roast (something).V	no	To expose to heat without adding fat or water until it is cooked, has a brown crust and becomes crispy.			1962			
Food:roast or fry.V	no	Preparing food by exposing it to open fire or to hot fat.	325328	v	2146	5-23		
Food:rotten.A	no	Having changed its colour, smell or composition (partially or completely), due to being attacked and decomposed by microorganisms (relating to organic matter).	1070538	a	1728	5-125		
Food:rum.N	no	Distilled alcohol beverage made from sugarcane.			2833			
Food:salad.N	yes	A food made primarily of a mixture of raw or cold ingredients, typically vegetables, usually served with a dressing such as vinegar or mayonnaise.						3460
Food:sandwich.N	yes	Foodstuff where pieces of bread serve as the wrapper of some other food.						3461
Food:satiated.A	no	Having eaten enough.			106			
Food:sauce.N	yes	A liquid food accompanying a dish.			132			
Food:saucer.N	no	A small dish for placing a cup.	4139291	n	271	5-36		
Food:sausage.N	yes	A length of intestine, stuffed with ground (organ) meat, and other ingredients. Instead of intestines, a different kind of wrapper can be used.	7675627	n	1874	5-63		3435
Food:sheep meat.N	no	The meat of domestic sheep, such as lamb and mutton.			3394			
Food:shell (something).V	no	To remove the hard outer covering from nuts, peas, eggs, etc.			3660			
Food:sichuan pepper.N	no	A spice from Sichuan Province that is famous for causing tingling sensation and its unique citrus flavour.			3395			
Food:sieve or strain.V	no	To separate solids from each other by passing through a sieve or other straining device or to separate or isolate components from a liquid with the help of a filter.	1460029	v	3448	5-47		
Food:sieve.V	no	To separate solids from each other by passing through a sieve or other straining device.			86			
Food:skin (of fruit).N	no	The outer layer of fruits.			2373		Schale::N	
Food:small bowl.N	no	A small utensil for eating fluid food.			2053			
Food:small knife.N	no	A knife for cutting vegetables and other things in the kitchen.			3233			
Food:soak (verb).V	no	To put into water in order to soften something, e.g. seeds.			2069			
Food:sober.A	no	Not under the influence of alcohol or other drugs.			69			
Food:Solanum lycopersicum.N	yes	The savoury fruit of the Solanum lycopersicum, red when ripe.			986			1098
Food:soup.N	yes	A cooked, liquid dish (made from meat or vegetables that are mixed with broth in a pot) that is often sold in tins.	7583197	n	1547	5-64	Suppe::N	3462
Food:soya sauce.N	no	Sauce made from soybeans (soya beans), roasted grain, water and salt and is used as flavoring mainly in Asian cuisine.			1968	5-99903		
Food:spice.N	no	spice, seasoning						3465
Food:spicy.A	no	Of, pertaining to, or containing spice; or spicy flavour: Provoking a burning sensation due to the presence of chillies or similar hot spices.			544			
Food:spinach.N	no	An important leaf vegetable, grown throughout the temperate regions of the world.			975			
Food:spoil (become spoiled).V	no	Of food, to become bad, sour or rancid; to decay.			569		faulen::V	
